entry_time,exit_time,pair,direction,exit_reason,pnl_sgd,outcome
2025-05-13 07:00:00+00:00,2025-05-13 08:00:00+00:00,USD_CAD,1,tp,4885.2896317060995,win
2025-05-13 07:30:00+00:00,2025-05-13 09:30:00+00:00,USD_CHF,-1,sl,-2003.433000000041,loss
2025-05-13 08:00:00+00:00,2025-05-13 09:30:00+00:00,USD_CAD,1,sl,-4503.592800000933,loss
2025-06-11 03:00:00+00:00,2025-06-11 04:00:00+00:00,NZD_USD,1,tp,6752.535194283015,win
2025-06-13 05:00:00+00:00,2025-06-13 06:00:00+00:00,USD_CHF,1,sl,-1668.5262000000341,loss
2025-06-13 06:00:00+00:00,2025-06-13 07:30:00+00:00,USD_CHF,1,tp,5883.447337116381,win
2025-06-17 07:00:00+00:00,2025-06-17 08:30:00+00:00,GBP_USD,1,sl,-3982.2947999966136,loss
2025-06-19 09:00:00+00:00,2025-06-19 10:00:00+00:00,USD_CHF,-1,sl,-4706.788800000974,loss
2025-06-23 11:00:00+00:00,2025-06-23 12:00:00+00:00,AUD_USD,1,tp,5322.892757751034,win
2025-06-23 11:00:00+00:00,2025-06-23 12:00:00+00:00,NZD_USD,1,tp,5478.7994040796175,win
2025-07-08 00:00:00+00:00,2025-07-08 01:00:00+00:00,USD_JPY,1,tp,7719.192419924691,win
2025-07-08 01:00:00+00:00,2025-07-08 02:00:00+00:00,USD_JPY,1,sl,-3792.517340315231,loss
2025-07-08 02:00:00+00:00,2025-07-08 04:00:00+00:00,USD_JPY,1,sl,-2291.759999999484,loss
2025-07-14 01:00:00+00:00,2025-07-14 02:00:00+00:00,EUR_USD,-1,tp,9051.63686384911,win
2025-07-14 01:00:00+00:00,2025-07-14 02:00:00+00:00,USD_JPY,-1,sl,-3469.0199999991646,loss
2025-07-14 02:00:00+00:00,2025-07-14 05:30:00+00:00,EUR_USD,-1,tp,7709.404170799248,win
2025-07-16 03:00:00+00:00,2025-07-16 06:30:00+00:00,NZD_USD,1,time,2773.8083999985747,win
2025-07-22 07:30:00+00:00,2025-07-22 11:00:00+00:00,USD_CHF,-1,time,2507.867999999724,win
2025-07-28 11:00:00+00:00,2025-07-28 13:00:00+00:00,USD_CHF,1,tp,7241.455940307928,win
2025-08-18 01:00:00+00:00,2025-08-18 02:30:00+00:00,USD_JPY,1,sl,-3187.0726794736015,loss
2025-08-20 02:00:00+00:00,2025-08-20 03:00:00+00:00,EUR_USD,-1,sl,-4128.105599997445,loss
2025-08-20 03:00:00+00:00,2025-08-20 04:30:00+00:00,NZD_USD,1,sl,-7714.196999998198,loss
2025-08-26 07:00:00+00:00,2025-08-26 09:00:00+00:00,EUR_USD,1,tp,6789.26057196581,win
2025-09-18 00:00:00+00:00,2025-09-18 01:00:00+00:00,GBP_USD,-1,tp,4736.3763983219715,win
2025-09-18 00:00:00+00:00,2025-09-18 03:30:00+00:00,NZD_USD,1,time,1777.5472000000366,win
2025-09-18 00:00:00+00:00,2025-09-18 01:00:00+00:00,USD_CHF,-1,sl,-4944.404399998611,loss
2025-09-22 01:30:00+00:00,2025-09-22 05:00:00+00:00,USD_CAD,1,time,507.41879999930035,win
2025-09-24 03:00:00+00:00,2025-09-24 05:30:00+00:00,AUD_USD,-1,sl,-4636.741199998698,loss
2025-09-30 07:00:00+00:00,2025-09-30 08:00:00+00:00,AUD_USD,1,tp,2708.9911337479325,win
2025-09-30 07:00:00+00:00,2025-09-30 09:00:00+00:00,NZD_USD,-1,tp,3558.9856684706283,win
2025-09-30 08:00:00+00:00,2025-09-30 10:30:00+00:00,USD_JPY,-1,sl,-2400.9599999993798,loss
2025-10-06 11:30:00+00:00,2025-10-06 12:30:00+00:00,GBP_USD,1,tp,4267.304166246762,win
2025-11-04 09:00:00+00:00,2025-11-04 10:00:00+00:00,USD_CAD,-1,sl,-3838.708800000682,loss
2025-12-09 08:00:00+00:00,2025-12-09 09:00:00+00:00,USD_JPY,1,sl,-2469.5955659934784,loss
2026-01-07 03:00:00+00:00,2026-01-07 04:00:00+00:00,AUD_USD,-1,sl,-3201.704999999101,loss
2026-01-15 09:00:00+00:00,2026-01-15 11:00:00+00:00,USD_CAD,1,sl,-3883.0752000006896,loss
2026-02-06 01:30:00+00:00,2026-02-06 04:30:00+00:00,USD_CAD,1,sl,-3940.5960000007003,loss
2026-02-11 02:00:00+00:00,2026-02-11 03:00:00+00:00,AUD_USD,-1,sl,-1469.9916000003043,loss
2026-02-11 03:00:00+00:00,2026-02-11 04:30:00+00:00,AUD_USD,-1,tp,10396.551794624747,win
2026-02-23 10:00:00+00:00,2026-02-23 11:00:00+00:00,NZD_USD,-1,tp,4671.261935945098,win
2026-03-20 03:00:00+00:00,2026-03-20 04:00:00+00:00,NZD_USD,-1,tp,5298.901249693356,win
2026-03-26 07:00:00+00:00,2026-03-26 08:00:00+00:00,NZD_USD,1,sl,-3338.4239999992205,loss
2026-03-26 08:00:00+00:00,2026-03-26 09:00:00+00:00,NZD_USD,1,tp,4964.210849700037,win
