time,balance
2025-06-23 12:00:00+00:00,105093.0448076994
2025-06-23 12:00:00+00:00,105366.98477790339
2025-07-08 01:00:00+00:00,105752.94439889962
2025-07-08 02:00:00+00:00,105563.31853188387
2025-07-08 04:00:00+00:00,105448.73053188389
2025-07-14 02:00:00+00:00,105901.31237507635
2025-07-14 02:00:00+00:00,105727.86137507639
2025-07-14 05:30:00+00:00,106113.33158361635
2025-07-16 06:30:00+00:00,106252.02200361628
2025-07-22 11:00:00+00:00,106377.41540361627
2025-07-28 13:00:00+00:00,106739.48820063166
2025-08-18 02:30:00+00:00,106580.13456665799
2025-08-20 03:00:00+00:00,106373.72928665811
2025-08-20 04:30:00+00:00,105988.0194366582
2025-08-26 09:00:00+00:00,106327.48246525649
2025-09-18 01:00:00+00:00,106564.30128517258
2025-09-18 03:30:00+00:00,106653.17864517258
2025-09-18 01:00:00+00:00,106405.95842517265
2025-09-22 05:00:00+00:00,106431.32936517261
2025-09-24 05:30:00+00:00,106199.49230517268
2025-09-30 08:00:00+00:00,106334.94186186008
2025-09-30 09:00:00+00:00,106512.8911452836
2025-09-30 10:30:00+00:00,106392.84314528364
2025-10-06 12:30:00+00:00,106606.20835359598
2025-11-04 10:00:00+00:00,106414.27291359595
2025-12-09 09:00:00+00:00,106290.79313529628
2026-01-07 04:00:00+00:00,106130.70788529632
2026-01-15 11:00:00+00:00,105936.55412529629
2026-02-06 04:30:00+00:00,105739.52432529625
2026-02-11 03:00:00+00:00,105666.02474529624
2026-02-11 04:30:00+00:00,106185.85233502748
2026-02-23 11:00:00+00:00,106419.41543182473
2026-03-20 04:00:00+00:00,106684.3604943094
2026-03-26 08:00:00+00:00,106517.43929430943
2026-03-26 09:00:00+00:00,106765.64983679443
