time,pair,direction,z_score,abs_z,spread,hawkes_intensity,kappa,har_rv,cross_corr,kalman_uncertainty,regime,entry_price,sl_price,tp_price,pair_index
2024-07-17 00:30:00+00:00,NZD_USD,-1,1.8741922849499475,1.8741922849499475,0.00012000000000000899,0.025682640850254485,0.28053184992377866,0.0005763878596250684,0.07402570496477856,0.07072340566001079,transitional,0.60758,0.60794,0.6071826637387662,3
2024-07-17 01:00:00+00:00,GBP_USD,1,-1.7397530010077076,1.7397530010077076,0.00018999999999991246,0.002446352614030934,0.31438475701832663,6.939384476602526e-05,0.10861753347509696,0.07073314173793767,transitional,1.297035,1.2964650000000002,1.2976515213054047,1
2024-07-18 01:30:00+00:00,GBP_USD,-1,2.5381628263536267,2.5381628263536267,0.00017000000000000348,0.0024463526140290105,0.33004004572034895,8.45851291652216e-05,0.053957973053020476,0.07071385816357856,transitional,1.3003550000000001,1.3008650000000002,1.299335612377873,1
2024-07-18 02:00:00+00:00,GBP_USD,-1,2.290924803452559,2.290924803452559,0.00018999999999991246,0.0024463526140290105,0.33004004572034895,0.0002845376839403397,0.057717956651566246,0.07072138339781132,transitional,1.299985,1.3005549999999997,1.2990895234031588,1
2024-07-18 02:00:00+00:00,NZD_USD,-1,2.213794340843655,2.213794340843655,0.0001300000000000745,0.025682640850254485,0.2817884802854595,8.235332872382846e-06,0.057717956651566246,0.07072138339781132,transitional,0.607145,0.6075350000000003,0.6066371217865908,3
2024-07-25 01:00:00+00:00,USD_CAD,1,-2.122912596971735,2.122912596971735,0.000180000000000069,0.02108633802266255,0.3585157501333504,0.00025336981858737495,0.6963229026692831,0.072309381175013,transitional,1.3817300000000001,1.38119,1.3825522015290406,4
2024-07-25 01:30:00+00:00,USD_CAD,1,-2.4600013201624127,2.4600013201624127,0.0001900000000001345,0.02108633802266255,0.3585157501333504,0.00024244968264409294,0.6335329583556584,0.0723193218557082,transitional,1.3820649999999999,1.3814949999999995,1.3830582184868916,4
2024-07-31 05:00:00+00:00,AUD_USD,1,-1.7247644002410976,1.7247644002410976,0.0001300000000000745,0.036291381959096286,0.2685991274164369,0.0015706443491449685,0.1839324710692053,0.07241731115277232,transitional,0.648395,0.6480049999999998,0.6490419943368015,2
2024-07-31 05:30:00+00:00,AUD_USD,1,-1.8367026958803023,1.8367026958803023,0.00012000000000000899,0.036291381959096286,0.2685991274164369,0.001056454784506523,0.18326878092720852,0.07242728268361938,transitional,0.6490800000000001,0.6487200000000001,0.6497868728789221,2
2024-07-31 05:30:00+00:00,USD_CHF,1,-1.6205282988758012,1.6205282988758012,0.00014999999999998348,0.0076305510673919524,0.21824736975807926,0.0004197081326957921,0.18326878092720852,0.07242728268361938,transitional,0.8819349999999999,0.881485,0.8823955849659997,5
